key_0,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,Delay,Predicted_date
60,U001,200769623,WAL-MAR corporation,,2020,1930831771,27-04-2020,20200428,20200427,12-05-2020,USD,RV,1,2169.37,20200427,NAH4,1930831771,1,1.010989011,13-05-2020
67,U001,200455322,PEA trust,,2020,1930811887,23-04-2020,20200422,20200423,23-05-2020,USD,RV,1,51785.92,20200423,NAD5,1930811887,1,1.010989011,24-05-2020
72,U001,200769623,WAL-MAR ,,2020,1930831569,28-04-2020,20200428,20200428,13-05-2020,USD,RV,1,23626.05,20200428,NAH4,1930831569,1,1.010989011,14-05-2020
73,U001,200780383,MEIJ trust,,2020,1930749110,04-04-2020,20200404,20200404,19-04-2020,USD,RV,1,18135.91,20200404,NAA8,1930749110,1,1.010989011,20-04-2020
85,U001,200707822,PUBLI ,,2020,1930731870,02-04-2020,20200402,20200402,17-04-2020,USD,RV,1,71957.9,20200402,NAA8,1930731870,1,1.010989011,18-04-2020
92,U001,200705742,DOT llc,,2020,1930659664,16-03-2020,20200316,20200316,31-03-2020,USD,RV,1,32255.1,20200316,NAA8,1930659664,1,1.010989011,01-04-2020
104,U001,200769623,WAL-MAR llc,,2020,1930584093,29-02-2020,20200229,20200229,15-03-2020,USD,RV,1,49258.53,20200229,NAH4,1930584093,1,1.010989011,16-03-2020
106,U001,200526831,PERISH corp,,2020,1930672639,19-03-2020,20200319,20200319,03-04-2020,USD,RV,1,122482.48,20200319,NAA8,1930672639,1,1.010989011,04-04-2020
108,U013,100034330,MASSY D co,,2020,1991841294,13-04-2020,20200409,20200413,13-05-2020,USD,RV,1,5103.36,20200413,NAVE,1991841294,1,-1.848095849,11-05-2020
120,U001,200762301,C&S WH trust,,2020,1930677277,23-03-2020,20200321,20200323,07-04-2020,USD,RV,1,75371.02,20200323,NAC6,1930677277,1,1.010989011,08-04-2020
129,U001,200780383,MEIJ corp,,2020,1930632919,10-03-2020,20200310,20200310,25-03-2020,USD,RV,1,130021.51,20200310,NAA8,1930632919,1,1.010989011,26-03-2020
141,U001,200418007,AM systems,,2020,1930659952,17-03-2020,20200317,20200317,01-04-2020,USD,RV,1,26127.36,20200317,NAA8,1930659952,1,1.010989011,02-04-2020
143,U001,200778870,C us,,2020,1930705483,26-03-2020,20200326,20200326,10-04-2020,USD,RV,1,10030.02,20200326,NAA8,1930705483,1,1.010989011,11-04-2020
148,U001,200704858,WAKE ,,2020,1930739179,03-04-2020,20200403,20200403,18-04-2020,USD,RV,1,8977.87,20200403,NAA8,1930739179,1,1.010989011,19-04-2020
150,U001,200780825,SYSCO FO co,,2020,1930578854,27-02-2020,20200227,20200227,13-03-2020,USD,RV,1,7748.02,20200227,NAA8,1930578854,1,1.010989011,14-03-2020
155,U001,200769623,WAL-MAR in,,2020,1930810930,23-04-2020,20200423,20200423,08-05-2020,USD,RV,1,15880.05,20200423,NAH4,1930810930,1,1.010989011,09-05-2020
156,U001,200769623,WAL-MAR in,,2020,1930795301,17-04-2020,20200416,20200417,02-05-2020,USD,RV,1,53306.42,20200417,NAH4,1930795301,1,1.010989011,03-05-2020
165,U001,200772670,ASSOCIAT systems,,2020,1930781784,14-04-2020,20200414,20200414,29-04-2020,USD,RV,1,176620.83,20200414,NAU5,1930781784,1,93.66666667,31-07-2020
169,U001,200769623,WAL-MAR llc,,2020,1930699972,26-03-2020,20200325,20200326,10-04-2020,USD,RV,1,32261.4,20200326,NAH4,1930699972,1,1.010989011,11-04-2020
174,CA02,140106408,WAL-M foundation,,2020,2960622282,29-03-2020,20200329,20200329,08-04-2020,CAD,RV,1,1888.3,20200329,CA10,2960622282,1,2.169835234,10-04-2020
177,U001,200769623,WAL-MAR trust,,2020,1930598807,05-03-2020,20200304,20200305,20-03-2020,USD,RV,1,35486.51,20200305,NAH4,1930598807,1,1.010989011,21-03-2020
182,U001,200762301,C&S WH foundation,,2020,1930687552,22-03-2020,20200323,20200322,06-04-2020,USD,RV,1,144740.84,20200322,NAC6,1930687552,1,1.010989011,07-04-2020
190,U001,200769623,WAL-MAR corp,,2020,1930640916,12-03-2020,20200311,20200312,27-03-2020,USD,RV,1,3270.04,20200312,NAH4,1930640916,1,1.010989011,28-03-2020
195,U001,200854853,MARTIN  corp,,2020,1930780821,13-04-2020,20200413,20200413,28-04-2020,USD,RV,1,20379.6,20200413,NAA8,1930780821,1,1.010989011,29-04-2020
202,U001,200744019,TARG us,,2020,1930738697,04-04-2020,20200403,20200404,19-04-2020,USD,RV,1,16315.29,20200404,NAA8,1930738697,1,1.010989011,20-04-2020
207,U001,200777735,NASH  ,,2020,1930626072,11-03-2020,20200309,20200311,26-03-2020,USD,RV,1,22938.38,20200311,NAA8,1930626072,1,1.010989011,27-03-2020
212,U001,200705372,FR us,,2020,1930643598,13-03-2020,20200312,20200313,28-03-2020,USD,RV,1,66555.33,20200313,NAA8,1930643598,1,1.010989011,29-03-2020
216,U001,200780383,MEIJ in,,2020,1930751270,06-04-2020,20200405,20200406,21-04-2020,USD,RV,1,120408.75,20200406,NAA8,1930751270,1,1.010989011,22-04-2020
227,U001,200769623,WAL-MAR corporation,,2020,1930724659,02-04-2020,20200331,20200402,17-04-2020,USD,RV,1,15654.73,20200402,NAH4,1930724659,1,1.010989011,18-04-2020
230,U001,200744019,TARG in,,2020,1930747432,05-04-2020,20200404,20200405,20-04-2020,USD,RV,1,12187.91,20200405,NAA8,1930747432,1,1.010989011,21-04-2020
245,U001,200769623,WAL-MAR in,,2020,1930838157,29-04-2020,20200429,20200429,14-05-2020,USD,RV,1,11730.93,20200429,NAH4,1930838157,1,1.010989011,15-05-2020
247,U001,200806580,BE corporation,,2020,1930781513,15-04-2020,20200413,20200415,30-04-2020,USD,RV,1,2835.4,20200415,NAA8,1930781513,1,1.010989011,01-05-2020
248,U001,200769623,WAL-MAR trust,,2020,1930854678,05-05-2020,20200503,20200505,20-05-2020,USD,RV,1,3455.29,20200505,NAH4,1930854678,1,1.010989011,21-05-2020
251,U001,200707822,PUBLI corp,,2020,1930706115,28-03-2020,20200326,20200328,12-04-2020,USD,RV,1,116542.2,20200328,NAA8,1930706115,1,1.010989011,13-04-2020
259,U001,200769623,WAL-MAR foundation,,2020,1930687708,23-03-2020,20200323,20200323,07-04-2020,USD,RV,1,17620.91,20200323,NAH4,1930687708,1,1.010989011,08-04-2020
270,U001,200769623,WAL-MAR us,,2020,1930655912,18-03-2020,20200316,20200318,02-04-2020,USD,RV,1,16234.59,20200318,NAH4,1930655912,1,1.010989011,03-04-2020
272,U001,200762301,C&S WH llc,,2020,1930752296,05-04-2020,20200406,20200405,20-04-2020,USD,RV,1,36698.24,20200405,NAC6,1930752296,1,1.010989011,21-04-2020
283,U001,200769623,WAL-MAR corp,,2020,1930798585,18-04-2020,20200417,20200418,03-05-2020,USD,RV,1,1329.23,20200418,NAH4,1930798585,1,1.010989011,04-05-2020
289,U001,200762301,C&S WH us,,2020,1930769631,10-04-2020,20200409,20200410,25-04-2020,USD,RV,1,101687.15,20200410,NAC6,1930769631,1,1.010989011,26-04-2020
292,U001,200780383,MEIJ us,,2020,1930718323,30-03-2020,20200329,20200330,14-04-2020,USD,RV,1,3688.03,20200330,NAA8,1930718323,1,1.010989011,15-04-2020
298,U001,200769623,WAL-MAR in,,2020,1930815404,22-04-2020,20200422,20200422,07-05-2020,USD,RV,1,49337.71,20200422,NAH4,1930815404,1,1.010989011,08-05-2020
299,U001,200452949,VARI systems,,2020,1930764414,14-04-2020,20200408,20200414,29-04-2020,USD,RV,1,11877.2,20200414,NAA8,1930764414,1,1.010989011,30-04-2020
301,U001,200803720,DEC trust,,2020,1930617748,07-03-2020,20200307,20200307,11-03-2020,USD,RV,1,9990.99,20200301,NAM2,1930617748,1,1.010989011,12-03-2020
312,U001,200794332,COST corporation,,2020,1930656045,16-03-2020,20200316,20200316,31-03-2020,USD,RV,1,34655.67,20200316,NAAX,1930656045,1,1.010989011,01-04-2020
316,U001,200337148,COAS co,,2020,1930586997,02-03-2020,20200302,20200302,17-03-2020,USD,RV,1,40444.01,20200302,NAA8,1930586997,1,1.010989011,18-03-2020
327,U001,200803720,DEC associates,,2020,1930820055,23-04-2020,20200423,20200423,26-04-2020,USD,RV,1,21028.74,20200416,NAM2,1930820055,1,1.010989011,27-04-2020
331,U001,200729942,SA corp,,2020,1930577975,05-03-2020,20200302,20200305,20-03-2020,USD,RV,1,10194.43,20200305,NAA8,1930577975,1,1.010989011,21-03-2020
345,U001,200936373,SUPE us,,2020,1930796952,22-04-2020,20200417,20200422,07-05-2020,USD,RV,1,2406.71,20200422,NAA8,1930796952,1,1.010989011,08-05-2020
351,CA02,140106408,WAL-M corp,,2020,2960618790,06-03-2020,20200306,20200306,16-03-2020,CAD,RV,1,92832.27,20200306,CA10,2960618790,1,2.169835234,18-03-2020
365,U001,200706844,WINC corporation,,2020,1930783315,15-04-2020,20200414,20200415,30-04-2020,USD,RV,1,1134.6,20200415,NAA8,1930783315,1,1.010989011,01-05-2020
374,U001,200707822,PUBLI ,,2020,1930812742,22-04-2020,20200422,20200422,07-05-2020,USD,RV,1,89213.95,20200422,NAA8,1930812742,1,1.010989011,08-05-2020
381,U001,200668077,IN-N- co,,2020,1930754001,10-04-2020,20200406,20200410,20-04-2020,USD,RV,1,26582.4,20200410,NA10,1930754001,1,1.010989011,21-04-2020
383,U001,200795490,HY -  trust,,2020,1930687214,23-03-2020,20200323,20200323,27-05-2020,USD,RV,1,29120.91,20200323,NAGD,1930687214,1,1.010989011,28-05-2020
389,U001,200776463,KROGE associates,,2020,1930849841,01-05-2020,20200502,20200501,16-05-2020,USD,RV,1,16818.66,20200501,NAA8,1930849841,1,1.010989011,17-05-2020
393,U001,200761734,H E BUT foundation,,2020,1930671131,20-03-2020,20200319,20200320,04-04-2020,USD,RV,1,101607.92,20200320,NAA8,1930671131,1,1.010989011,05-04-2020
395,U001,200761497,NEX associates,,2020,1930859952,05-05-2020,20200505,20200505,20-05-2020,USD,RV,1,629.64,20200505,NAA8,1930859952,1,1.010989011,21-05-2020
404,U001,200794332,COST systems,,2020,1930690285,25-03-2020,20200324,20200325,09-04-2020,USD,RV,1,16999.59,20200325,NAAX,1930690285,1,1.010989011,10-04-2020
406,U001,200769623,WAL-MAR systems,,2020,1930850473,03-05-2020,20200502,20200503,18-05-2020,USD,RV,1,10035.79,20200503,NAH4,1930850473,1,1.010989011,19-05-2020
408,CA02,140104440,SO foundation,,2020,2960627084,09-04-2020,20200409,20200409,19-04-2020,CAD,RV,1,1740.41,20200409,CA10,2960627084,1,2.169835234,21-04-2020
417,CA02,140106372,G T  co,,2020,2960630699,29-04-2020,20200429,20200429,11-05-2020,CAD,RV,1,67492.8,20200501,CA10,2960630699,1,2.169835234,13-05-2020
419,U001,200762301,C&S WH ,,2020,1930725241,01-04-2020,20200331,20200401,16-04-2020,USD,RV,1,38832.64,20200401,NAC6,1930725241,1,1.010989011,17-04-2020
425,U001,200148860,DOLLA us,,2020,1930825661,25-04-2020,20200425,20200425,10-05-2020,USD,RV,1,51295.51,20200425,NAA8,1930825661,1,1.010989011,11-05-2020
429,U001,200793513,KROGER us,,2020,1930822889,24-04-2020,20200424,20200424,09-05-2020,USD,RV,1,2646.76,20200424,NAA8,1930822889,1,1.010989011,10-05-2020
431,U001,200735528,ASSOCIA corp,,2020,1930834241,30-04-2020,20200429,20200430,15-05-2020,USD,RV,1,132385.39,20200430,NAA8,1930834241,1,1.010989011,16-05-2020
444,U001,200900909,SYSCO systems,,2020,1930777595,16-04-2020,20200411,20200416,01-05-2020,USD,RV,1,363.94,20200416,NAA8,1930777595,1,1.010989011,02-05-2020
446,U001,200769623,WAL-MAR us,,2020,1930739955,03-04-2020,20200403,20200403,18-04-2020,USD,RV,1,471.56,20200403,NAH4,1930739955,1,1.010989011,19-04-2020
454,U001,200580232,INTERR llc,,2020,1930774423,10-04-2020,20200410,20200410,20-04-2020,USD,RV,1,29820,20200410,NA10,1930774423,1,1.010989011,21-04-2020
456,U001,100001196,DOLLAR systems,,2020,1930853156,06-05-2020,20200502,20200506,21-05-2020,USD,RV,1,20571.77,20200506,NAA8,1930853156,1,1.010989011,22-05-2020
465,U001,200418007,AM systems,,2020,1930840818,01-05-2020,20200430,20200501,16-05-2020,USD,RV,1,33697.73,20200501,NAA8,1930840818,1,1.010989011,17-05-2020
470,U001,200727278,BLOU llc,,2020,1930611680,10-03-2020,20200306,20200310,25-03-2020,USD,RV,1,73890.43,20200310,NAA8,1930611680,1,1.010989011,26-03-2020
481,U001,200769623,WAL-MAR systems,,2020,1930622142,09-03-2020,20200308,20200309,24-03-2020,USD,RV,1,7569.86,20200309,NAH4,1930622142,1,1.010989011,25-03-2020
483,U001,200769623,WAL-MAR corporation,,2020,1930812588,22-04-2020,20200422,20200422,07-05-2020,USD,RV,1,36333.27,20200422,NAH4,1930812588,1,1.010989011,08-05-2020
490,U001,200769623,WAL-MAR ,,2020,1930684773,22-03-2020,20200321,20200322,06-04-2020,USD,RV,1,9882.21,20200322,NAH4,1930684773,1,1.010989011,07-04-2020
496,U001,200148860,DOLLA in,,2020,1930855703,04-05-2020,20200503,20200504,19-05-2020,USD,RV,1,30148.42,20200504,NAA8,1930855703,1,1.010989011,20-05-2020
506,U001,200729942,SA us,,2020,1930726667,31-03-2020,20200331,20200331,15-04-2020,USD,RV,1,3936.54,20200331,NAA8,1930726667,1,1.010989011,16-04-2020
512,CA02,140106408,WAL-M corp,,2020,2960621288,21-03-2020,20200321,20200321,31-03-2020,CAD,RV,1,43246.26,20200321,CA10,2960621288,1,4.682854311,04-04-2020
516,U001,200769623,WAL-MAR co,,2020,1930730399,02-04-2020,20200401,20200402,17-04-2020,USD,RV,1,39998.73,20200402,NAH4,1930730399,1,1.010989011,18-04-2020
518,CA02,140104240,FEDER llc,,2020,2960621654,17-03-2020,20200317,20200317,04-04-2020,CAD,RV,1,89802.07,20200325,CA10,2960621654,1,2.169835234,06-04-2020
523,U001,200744019,TARG in,,2020,1930744319,06-04-2020,20200403,20200406,21-04-2020,USD,RV,1,9933.73,20200406,NAA8,1930744319,1,1.010989011,22-04-2020
535,U001,200466603,SMITH'S us,,2020,1930834565,29-04-2020,20200429,20200429,14-05-2020,USD,RV,1,40653.17,20200429,NAA8,1930834565,1,1.010989011,15-05-2020
544,U001,200705742,DOT llc,,2020,1930585284,02-03-2020,20200301,20200302,03-04-2020,USD,RV,1,2201.01,20200302,NA32,1930585284,1,1.010989011,04-04-2020
553,U001,200726979,BJ'S  foundation,,2020,1930580537,28-02-2020,20200228,20200228,14-03-2020,USD,RV,1,746.62,20200228,NAA8,1930580537,1,1.010989011,15-03-2020
557,U001,200778870,C us,,2020,1930819206,22-04-2020,20200423,20200422,07-05-2020,USD,RV,1,1331.83,20200422,NAA8,1930819206,1,1.010989011,08-05-2020
561,U001,200759878,SA co,,2020,1930730824,03-04-2020,20200401,20200403,18-05-2020,USD,RV,1,111124.91,20200403,NAWP,1930730824,1,-1.848095849,16-05-2020
564,U001,200769623,WAL-MAR systems,,2020,1930718223,29-03-2020,20200329,20200329,13-04-2020,USD,RV,1,29990.67,20200329,NAH4,1930718223,1,1.010989011,14-04-2020
568,U001,200769623,WAL-MAR us,,2020,1930768974,11-04-2020,20200409,20200411,26-04-2020,USD,RV,1,6173.77,20200411,NAH4,1930768974,1,1.010989011,27-04-2020
573,U001,200705089,JETR associates,,2020,1930642942,12-03-2020,20200312,20200312,27-03-2020,USD,RV,1,13196.91,20200312,NAA8,1930642942,1,1.010989011,28-03-2020
574,U001,200424504,M  associates,,2020,1930606905,06-03-2020,20200305,20200306,15-04-2020,USD,RV,1,2846.14,20200415,NACG,1930606905,1,1.010989011,16-04-2020
580,U001,200769623,WAL-MAR corporation,,2020,1930793271,17-04-2020,20200416,20200417,02-05-2020,USD,RV,1,22329.47,20200417,NAH4,1930793271,1,1.010989011,03-05-2020
585,U001,200726979,BJ'S  corp,,2020,1930623498,11-03-2020,20200309,20200311,26-03-2020,USD,RV,1,33349.45,20200311,NAA8,1930623498,1,1.010989011,27-03-2020
589,U001,200726979,BJ'S  llc,,2020,1930724987,31-03-2020,20200331,20200331,15-04-2020,USD,RV,1,63.46,20200331,NAA8,1930724987,1,1.010989011,16-04-2020
594,U001,200769623,WAL-MAR corp,,2020,1930774602,12-04-2020,20200410,20200412,27-04-2020,USD,RV,1,8949.7,20200412,NAH4,1930774602,1,1.010989011,28-04-2020
604,U001,200762301,C&S WH ,,2020,1930801340,21-04-2020,20200419,20200421,06-05-2020,USD,RV,1,16185.51,20200421,NAC6,1930801340,1,1.010989011,07-05-2020
609,U001,200726979,BJ'S  foundation,,2020,1930655477,13-03-2020,20200316,20200313,28-03-2020,USD,RV,1,618.99,20200313,NAA8,1930655477,1,1.010989011,29-03-2020
610,U001,200772670,ASSOCIAT corp,,2020,1930837927,29-04-2020,20200429,20200429,14-05-2020,USD,RV,1,5310.93,20200429,NAU5,1930837927,1,93.66666667,15-08-2020
616,U001,200706844,WINC in,,2020,1930815771,22-04-2020,20200422,20200422,07-05-2020,USD,RV,1,68761.15,20200422,NAA8,1930815771,1,1.010989011,08-05-2020
628,U001,200781831,RITE systems,,2020,1930849405,30-04-2020,20200501,20200430,15-05-2020,USD,RV,1,22041.22,20200430,NAA8,1930849405,1,1.010989011,16-05-2020
633,U001,200799367,MCL co,,2020,1930788304,23-04-2020,20200415,20200423,08-05-2020,USD,RV,1,29358.86,20200423,NAA8,1930788304,1,1.010989011,09-05-2020
634,CA02,140106408,WAL-M trust,,2020,2960629097,22-04-2020,20200422,20200422,02-05-2020,CAD,RV,1,15344.12,20200422,CA10,2960629097,1,4.682854311,06-05-2020
638,U001,200769623,WAL-MAR llc,,2020,1930804655,21-04-2020,20200420,20200421,06-05-2020,USD,RV,1,47366.12,20200421,NAH4,1930804655,1,1.010989011,07-05-2020
640,U001,200769623,WAL-MAR ,,2020,1930654271,16-03-2020,20200316,20200316,31-03-2020,USD,RV,1,36854.44,20200316,NAH4,1930654271,1,1.010989011,01-04-2020
646,CA02,140106293,ATLANT trust,,2020,2960625872,04-04-2020,20200404,20200404,22-04-2020,CAD,RV,1,14822.97,20200412,CA10,2960625872,1,2.169835234,24-04-2020
648,U001,200769623,WAL-MAR in,,2020,1930884933,12-05-2020,20200510,20200512,27-05-2020,USD,RV,1,16464.02,20200512,NAH4,1930884933,1,1.010989011,28-05-2020
650,U001,200744019,TARG ,,2020,1930751685,08-04-2020,20200406,20200408,23-04-2020,USD,RV,1,16486.74,20200408,NAA8,1930751685,1,1.010989011,24-04-2020
669,U001,200759878,SA corp,,2020,1930620522,07-03-2020,20200307,20200307,22-03-2020,USD,RV,1,62681.7,20200307,NAH4,1930620522,1,1.010989011,23-03-2020
678,U001,200965912,C&S W foundation,,2020,1930709561,01-04-2020,20200328,20200401,16-04-2020,USD,RV,1,13937.54,20200401,NAC6,1930709561,1,1.010989011,17-04-2020
679,U001,200759878,SA corporation,,2020,1930774598,13-04-2020,20200410,20200413,28-04-2020,USD,RV,1,29962.79,20200413,NAH4,1930774598,1,1.010989011,29-04-2020
681,U001,200148860,DOLLA systems,,2020,1930671625,19-03-2020,20200319,20200319,03-04-2020,USD,RV,1,11099.81,20200319,NAA8,1930671625,1,1.010989011,04-04-2020
683,U001,200772670,ASSOCIAT foundation,,2020,1930755157,06-04-2020,20200406,20200406,21-04-2020,USD,RV,1,658.16,20200406,NAU5,1930755157,1,93.66666667,23-07-2020
688,U001,200152841,CAPI trust,,2020,1930601092,04-03-2020,20200304,20200304,19-03-2020,USD,RV,1,20133.26,20200304,NAA8,1930601092,1,1.010989011,20-03-2020
695,U001,200744019,TARG systems,,2020,1930713582,30-03-2020,20200328,20200330,14-04-2020,USD,RV,1,29232.91,20200330,NAA8,1930713582,1,1.010989011,15-04-2020
696,U001,200705372,FR in,,2020,1930737226,08-04-2020,20200402,20200408,23-04-2020,USD,RV,1,5600,20200408,NAA8,1930737226,1,1.010989011,24-04-2020
697,U001,200772670,ASSOCIAT us,,2020,1930594349,03-03-2020,20200303,20200303,18-03-2020,USD,RV,1,111518.53,20200303,NAU5,1930594349,1,93.66666667,19-06-2020
700,U001,200769623,WAL-MAR in,,2020,1930585620,02-03-2020,20200301,20200302,17-03-2020,USD,RV,1,34122.82,20200302,NAH4,1930585620,1,1.010989011,18-03-2020
701,CA02,140106408,WAL-M systems,,2020,2960620987,19-03-2020,20200319,20200319,29-03-2020,CAD,RV,1,131067.07,20200319,CA10,2960620987,1,4.682854311,02-04-2020
702,U001,200769623,WAL-MAR llc,,2020,1930724665,01-04-2020,20200331,20200401,16-04-2020,USD,RV,1,11307.78,20200401,NAH4,1930724665,1,1.010989011,17-04-2020
714,U001,200769623,WAL-MAR us,,2020,1930780571,13-04-2020,20200413,20200413,28-04-2020,USD,RV,1,27996.45,20200413,NAH4,1930780571,1,1.010989011,29-04-2020
728,U001,200742791,QUI us,,2020,1930732730,08-04-2020,20200402,20200408,23-04-2020,USD,RV,1,3236.72,20200408,NAA8,1930732730,1,1.010989011,24-04-2020
729,U001,200794332,COST foundation,,2020,1930709052,31-03-2020,20200330,20200331,15-04-2020,USD,RV,1,14772.55,20200331,NAAX,1930709052,1,1.010989011,16-04-2020
731,U001,100033439,WESTI in,,2020,1930803027,22-04-2020,20200420,20200422,02-05-2020,USD,RV,1,26180.05,20200422,NA10,1930803027,1,1.010989011,03-05-2020
733,U001,200769623,WAL-MAR llc,,2020,1930740178,04-04-2020,20200403,20200404,19-04-2020,USD,RV,1,45815.86,20200404,NAH4,1930740178,1,1.010989011,20-04-2020
735,U001,200769623,WAL-MAR in,,2020,1930673927,20-03-2020,20200319,20200320,04-04-2020,USD,RV,1,1898.2,20200320,NAH4,1930673927,1,1.010989011,05-04-2020
737,U001,200769623,WAL-MAR us,,2020,1930572517,27-02-2020,20200226,20200227,13-03-2020,USD,RV,1,1322.22,20200227,NAH4,1930572517,1,1.010989011,14-03-2020
740,U001,200769623,WAL-MAR in,,2020,1930772977,12-04-2020,20200410,20200412,27-04-2020,USD,RV,1,26202.77,20200412,NAH4,1930772977,1,1.010989011,28-04-2020
755,U001,CCCA02,KRAFT  foundation,,2020,1930535090,28-02-2020,20200217,20200228,03-04-2020,USD,RV,1,43329.6,20200228,NAG2,1930535090,1,1.010989011,04-04-2020
756,CA02,100056054,ACTIVE M in,,2020,2960631372,29-04-2020,20200429,20200429,11-05-2020,CAD,RV,1,1953.44,20200501,CA10,2960631372,1,2.169835234,13-05-2020
766,U001,200744019,TARG co,,2020,1930784320,16-04-2020,20200414,20200416,01-05-2020,USD,RV,1,16664.9,20200416,NAA8,1930784320,1,1.010989011,02-05-2020
778,U001,200769623,WAL-MAR trust,,2020,1930571322,27-02-2020,20200226,20200227,13-03-2020,USD,RV,1,14706.47,20200227,NAH4,1930571322,1,1.010989011,14-03-2020
779,U001,200769623,WAL-MAR in,,2020,1930728158,02-04-2020,20200401,20200402,17-04-2020,USD,RV,1,15042.61,20200402,NAH4,1930728158,1,1.010989011,18-04-2020
789,U001,100043936,PAPA JO trust,,2020,1930727026,31-03-2020,20200331,20200331,10-04-2020,USD,RV,1,17232.81,20200331,NA10,1930727026,1,1.010989011,11-04-2020
791,U001,200982294,BUR foundation,,2020,1930572509,27-02-2020,20200226,20200227,13-03-2020,USD,RV,1,62659.84,20200227,NAA8,1930572509,1,1.010989011,14-03-2020
792,U001,200775660,EB corp,,2020,1930581477,28-02-2020,20200228,20200228,03-05-2020,USD,RV,1,4671.54,20200228,NAGD,1930581477,1,1.010989011,04-05-2020
793,U001,200704858,WAKE us,,2020,1930803023,22-04-2020,20200420,20200422,07-05-2020,USD,RV,1,19111.37,20200422,NAA8,1930803023,1,1.010989011,08-05-2020
796,U001,200900909,SYSCO in,,2020,1930673931,20-03-2020,20200319,20200320,21-04-2020,USD,RV,1,32194.1,20200320,NA32,1930673931,1,1.010989011,22-04-2020
798,U001,200799367,MCL ,,2020,1930776616,13-04-2020,20200410,20200413,28-04-2020,USD,RV,1,82701.33,20200413,NAA8,1930776616,1,1.010989011,29-04-2020
800,U001,200769623,WAL-MAR systems,,2020,1930682075,22-03-2020,20200321,20200322,06-04-2020,USD,RV,1,54771.72,20200322,NAH4,1930682075,1,1.010989011,07-04-2020
804,U001,200020431,DEC ,,2020,1930598590,04-03-2020,20200304,20200304,24-03-2020,USD,RV,1,425.76,20200301,NAM4,1930598590,1,93.66666667,25-06-2020
